datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,demand_th,unmet_demand
2026-04-01 00:00:00,7.4454148471615715,2.7696943231441047,3.4099999999999997,1.0,3.41,4.440892098500626e-16
2026-04-01 01:00:00,7.663755458515283,2.850917030567685,3.51,1.0,3.51,0.0
2026-04-01 02:00:00,7.903930131004366,2.940262008733624,3.62,1.0,3.62,0.0
2026-04-01 03:00:00,8.34061135371179,3.1027074235807857,3.82,1.0,3.82,0.0
2026-04-01 04:00:00,9.30131004366812,3.460087336244541,4.26,1.0,4.26,0.0
2026-04-01 05:00:00,10.305676855895195,3.8337117903930125,4.72,1.0,4.72,0.0
2026-04-01 06:00:00,10.611353711790393,3.947423580786026,4.86,1.0,4.86,0.0
2026-04-01 07:00:00,10.895196506550217,4.053013100436681,4.989999999999999,1.0,4.99,8.881784197001252e-16
2026-04-01 08:00:00,10.54585152838428,3.923056768558952,4.83,1.0,4.83,0.0
2026-04-01 09:00:00,9.934497816593884,3.695633187772925,4.549999999999999,1.0,4.55,8.881784197001252e-16
2026-04-01 10:00:00,9.541484716157205,3.5494323144104802,4.37,1.0,4.37,0.0
2026-04-01 11:00:00,9.410480349344976,3.500698689956331,4.309999999999999,1.0,4.31,8.881784197001252e-16
2026-04-01 12:00:00,9.323144104803491,3.468209606986899,4.27,1.0,4.27,0.0
2026-04-01 13:00:00,9.47598253275109,3.525065502183405,4.339999999999999,1.0,4.34,8.881784197001252e-16
2026-04-01 14:00:00,9.432314410480348,3.5088209606986895,4.319999999999999,1.0,4.32,8.881784197001252e-16
2026-04-01 15:00:00,9.606986899563319,3.573799126637555,4.4,1.0,4.4,0.0
2026-04-01 16:00:00,9.803493449781659,3.646899563318777,4.49,1.0,4.49,0.0
2026-04-01 17:00:00,10.109170305676855,3.76061135371179,4.63,1.0,4.63,0.0
2026-04-01 18:00:00,10.524017467248909,3.914934497816594,4.82,1.0,4.82,0.0
2026-04-01 19:00:00,10.829694323144103,4.028646288209607,4.96,1.0,4.96,0.0
2026-04-01 20:00:00,10.982532751091702,4.085502183406113,5.029999999999999,1.0,5.03,8.881784197001252e-16
2026-04-01 21:00:00,10.786026200873362,4.0124017467248905,4.94,1.0,4.94,0.0
2026-04-01 22:00:00,9.803493449781659,3.646899563318777,4.49,1.0,4.49,0.0
