datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,boiler_gas_in,boiler_heat_out,heat_demand
2026-04-13 20:00:00,2.556,0.950832,1.1706480000000001,1.0,3.7073588516746403,3.099351999999999,4.27
2026-04-13 21:00:00,2.556,0.950832,1.1706480000000001,1.0,3.563818181818182,2.979352,4.15
2026-04-13 22:00:00,2.556,0.950832,1.1706480000000001,1.0,3.1331961722488035,2.6193519999999997,3.79
2026-04-13 23:00:00,2.556,0.950832,1.1706480000000001,1.0,2.307837320574163,1.9293520000000002,3.1
2026-04-14 00:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.1164497607655504,1.769352,2.94
2026-04-14 01:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2121435406698566,1.849352,3.02
2026-04-14 02:00:00,2.556,0.950832,1.1706480000000001,1.0,2.307837320574163,1.9293520000000002,3.1
2026-04-14 03:00:00,2.556,0.950832,1.1706480000000001,1.0,2.547071770334928,2.129352,3.3
2026-04-14 04:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.0016172248803823,2.5093519999999994,3.68
2026-04-14 05:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.468124401913876,2.8993520000000004,4.07
2026-04-14 06:00:00,2.556,0.950832,1.1706480000000001,1.0,3.5997033492822963,3.0093519999999994,4.18
2026-04-14 07:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.647550239234449,3.0493519999999994,4.22
2026-04-14 08:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.288698564593301,2.7493519999999996,3.92
2026-04-14 09:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.0016172248803823,2.5093519999999994,3.68
2026-04-14 10:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.690612440191387,2.2493519999999996,3.42
2026-04-14 11:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.523148325358851,2.1093519999999994,3.28
2026-04-14 12:00:00,2.556,0.950832,1.1706480000000001,1.0,2.511186602870813,2.0993519999999997,3.27
2026-04-14 13:00:00,2.556,0.950832,1.1706480000000001,1.0,2.6427655502392344,2.209352,3.38
2026-04-14 14:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.5949186602870817,2.1693520000000004,3.34
2026-04-14 15:00:00,2.556,0.950832,1.1706480000000001,1.0,2.582956937799043,2.159352,3.33
2026-04-14 16:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.8221913875598084,2.359352,3.53
2026-04-14 17:00:00,2.556,0.950832,1.1706480000000001,1.0,2.965732057416268,2.479352,3.65
2026-04-14 18:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.264775119617224,2.729351999999999,3.9
2026-04-14 19:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.468124401913876,2.8993520000000004,4.07
2026-04-14 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.611665071770335,3.019352,4.19
2026-04-14 21:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.408315789473683,2.8493519999999988,4.02
2026-04-14 22:00:00,2.556,0.950832,1.1706480000000001,1.0,2.9896555023923446,2.499352,3.67
2026-04-14 23:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1523349282296653,1.799352,2.97
2026-04-15 00:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9370239234449762,1.6193520000000001,2.79
2026-04-15 01:00:00,2.556,0.950832,1.1706480000000001,1.0,1.9609473684210526,1.639352,2.81
2026-04-15 02:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,2.0087942583732064,1.6793520000000004,2.85
2026-04-15 03:00:00,2.556,0.950832,1.1706480000000001,1.0,2.236066985645933,1.869352,3.04
2026-04-15 04:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.690612440191387,2.2493519999999996,3.42
2026-04-15 05:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.252813397129186,2.7193519999999993,3.89
2026-04-15 06:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.396354066985645,2.839351999999999,4.01
2026-04-15 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.4800861244019146,2.9093520000000006,4.08
2026-04-15 08:00:00,2.556,0.950832,1.1706480000000001,1.0,3.1690813397129185,2.649352,3.82
2026-04-15 09:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.870038277511961,2.3993519999999995,3.57
2026-04-15 10:00:00,2.556,0.950832,1.1706480000000001,1.0,2.5590334928229668,2.139352,3.31
2026-04-15 11:00:00,2.556,0.950832,1.1706480000000001,1.0,2.511186602870813,2.0993519999999997,3.27
2026-04-15 12:00:00,2.556,0.950832,1.1706480000000001,1.0,2.3915693779904306,1.9993519999999998,3.17
2026-04-15 13:00:00,2.556,0.950832,1.1706480000000001,1.0,2.4633397129186605,2.059352,3.23
2026-04-15 14:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.3197990430622006,1.9393519999999997,3.11
2026-04-15 15:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.3556842105263156,1.9693519999999998,3.14
2026-04-15 16:00:00,2.556,0.950832,1.1706480000000001,1.0,2.487263157894737,2.079352,3.25
2026-04-15 17:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.6786507177033494,2.239352,3.41
2026-04-15 18:00:00,2.556,0.950832,1.1706480000000001,1.0,3.0255406698564595,2.5293520000000003,3.7
2026-04-15 19:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.324583732057416,2.779352,3.95
2026-04-15 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.539894736842105,2.9593519999999995,4.13
2026-04-15 21:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3843923444976074,2.8293519999999996,4.0
2026-04-15 22:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.9537703349282296,2.4693519999999998,3.64
2026-04-15 23:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.164296650717703,1.8093519999999996,2.98
2026-04-16 00:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.948985645933014,1.6293519999999997,2.8
2026-04-16 01:00:00,2.556,0.950832,1.1706480000000001,1.0,2.056641148325359,1.719352,2.89
2026-04-16 02:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2241052631578944,1.8593519999999997,3.03
2026-04-16 03:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.4274545454545455,2.029352,3.2
2026-04-16 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.8939617224880383,2.419352,3.59
2026-04-16 05:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3843923444976074,2.8293519999999996,4.0
2026-04-16 06:00:00,2.556,0.950832,1.1706480000000001,1.0,3.5877416267942586,2.999352,4.17
2026-04-16 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.6236267942583735,3.0293520000000003,4.2
2026-04-16 08:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.1451578947368413,2.629351999999999,3.8
2026-04-16 09:00:00,2.556,0.950832,1.1706480000000001,1.0,2.7504210526315793,2.2993520000000003,3.47
2026-04-16 10:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.439416267942584,2.039352,3.21
2026-04-16 11:00:00,2.556,0.950832,1.1706480000000001,1.0,2.200181818181818,1.8393519999999999,3.01
2026-04-16 12:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,2.1882200956937803,1.8293520000000003,3.0
